Name	numMappedReads	numReadsFwd	numReadsRev	numHybpiperCds	gradeName	cladeName	orderName	familyName	genusName	speciesName	cvalue	sampleName	genusIn1KP	familyIn1KP	orderIn1KP	Category	Picked	InFirstSheet	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings
P02-08H	257212	311992	311992	274	Asterids	campanulids	Asterales	Asteraceae	Echinops	sphaerocephalus	3.08	P02-08H_S16	FALSE	TRUE	TRUE	3	YES	TRUE	587886	57010	0.097	349	275	271	242	188	106	0	4
P03-03D	1760895	603169	603169	344	Asterids	lamiids	Escalloniales	Escalloniaceae	Forgesia	borbonica	3.29	P03-03D_S20	FALSE	TRUE	TRUE	3	YES	TRUE	1093850	346144	0.316	352	344	338	331	277	166	0	3
P02-03F	171776	2394470	2394470	172	monocots_late	liliids	Liliales	Liliaceae	Fritillaria	davidii	34	P02-03F_S92	FALSE	TRUE	TRUE	3	YES	TRUE	4425011	220582	0.05	353	224	175	127	75	22	0	1
P03-10G	1010958	309814	309814	329	Rosids	fabids	Fabales	Fabaceae	Gilbertiodendron	ecoukense	2.08	P03-10G_S78	FALSE	TRUE	TRUE	3	YES	TRUE	577489	198407	0.344	351	332	322	299	224	127	0	7
P03-09E	489447	196607	196607	194	Asterids	lamiids	Gentianales	Gelsemiaceae	Pteleocarpa	lomphuga	0.36	P03-09E_S69	FALSE	TRUE	TRUE	3	YES	TRUE	372412	101607	0.273	349	278	273	235	130	57	0	0
P01-07D	664599	482265	482265	327	Asterids	lamiids	Boraginales	Boraginaceae	Wigandia	caracasana	1.63	P01-07D_S71	FALSE	TRUE	TRUE	3	YES	TRUE	833819	105543	0.127	350	333	328	313	244	139	0	2
P02-02A	540257	394549	394549	297	monocots_early	calamus	Acorales	Acoraceae	Acorus	gramineus	0.4	P02-02A_S38	TRUE	TRUE	TRUE	4	YES	TRUE	685147	100586	0.147	346	302	282	249	169	77	0	0
P01-04H	1242149	451281	451281	334	ANA_grade	vesselless	Amborellales	Amborellaceae	Amborella	trichopoda	0.89	P01-04H_S37	TRUE	TRUE	TRUE	4	YES	TRUE	779312	226096	0.29	352	345	343	338	327	307	0	2
P01-07G	962051	510315	510315	345	eudicots_core	coral_plants	Berberidopsidales	Berberidopsidaceae	Berberidopsis	beckleri	0.26	P01-07G_S39	TRUE	TRUE	TRUE	4	YES	TRUE	908699	176297	0.194	353	345	342	334	295	212	0	2
cerato_combined	66357	82287	82287	61	coontails	coontails	Ceratophyllales	Ceratophyllaceae	Ceratophyllum	demersum	0.69	P02-10F_S12	TRUE	TRUE	TRUE	4	REDONE	TRUE	1380522	109892	0.08	343	220	171	126	57	22	0	2
P01-03C	886780	405872	405872	333	Asterids	heathers	Ericales	Cyrillaceae	Cyrilla	racemiflora	0.78	P01-03C_S45	TRUE	TRUE	TRUE	4	YES	TRUE	695636	158106	0.227	351	341	331	314	261	143	0	10
P03-02A	471889	361173	361173	276	monocots_early	yams	Dioscoreales	Dioscoreaceae	Dioscorea	calcicola	1.19	P03-02A_S9	TRUE	TRUE	TRUE	4	YES	TRUE	656129	137545	0.21	347	295	269	222	152	69	0	2
gunnera_combined	100275	148984	148984	86	eudicots_core	giant_rhubarbs	Gunnerales	Gunneraceae	Gunnera	manicata	7.44	P01-09D_S4	TRUE	TRUE	TRUE	4	REDONE	TRUE	1788040	158142	0.088	353	323	305	277	193	91	0	0
P02-06G	452452	209841	209841	267	magnoliids_sl	magnoliids	Magnoliales	Magnoliaceae	Magnolia	accuminata	3.64	P02-06G_S42	TRUE	TRUE	TRUE	4	YES	TRUE	381345	83461	0.219	351	289	280	249	171	83	0	1
P03-05C	511532	278561	278561	296	eudicots_core	caryophyllids	Caryophyllales	Nepenthaceae	Nepenthes	mirabilis	0.28	P03-05C_S35	TRUE	TRUE	TRUE	4	YES	TRUE	522264	113577	0.217	352	309	296	251	151	74	0	0
P02-06B	338144	101353	101353	262	Asterids	lamiids	Solanales	Solanaceae	Nicotiana	heterantha	3.63	P02-06B_S34	TRUE	TRUE	TRUE	4	REPLACE	TRUE	193538	67699	0.35	347	275	256	117	73	48	0	15
P02-08B	463369	127801	127801	303	eudicots_core	saxifrages	Saxifragales	Saxifragaceae	Saxifraga	fortunei	1.44	P02-08B_S9	TRUE	TRUE	TRUE	4	REPLACE	TRUE	241141	92424	0.383	346	303	294	272	214	111	0	6
