Species	6528	5821	5822	5980	5981	6955	6150	5460	5463	5464	7128	5469	6797	5264	6792	5260	5304	6652	5857	5919	5918	5853	5858	5859	5913	6384	6387	6383	6389	5670	6933	5428	5770	5772	6270	6274	5578	6051	6500	6507	6506	6378	6379	6072	4951	6376	5138	5131	6432	6430	5702	5703	5950	5958	5188	5220	5791	5815	5816	5064	7174	6893	5357	5355	5354	5454	5926	5921	5922	6977	6978	6979	5531	7572	5536	7577	6098	6848	6038	6036	6034	5177	5744	6572	6570	5348	5620	6320	4989	4848	5990	6717	6713	6791	7313	6565	5699	6854	5664	6859	6563	6148	7135	7136	6780	5318	6785	5257	4724	6660	6667	6164	5968	5843	5842	5841	5840	5960	5849	7628	5406	5404	5644	7141	5910	5038	5034	5032	6631	5660	6532	6533	6531	6924	5949	6538	4942	6284	6282	6041	6363	6048	4793	6366	5893	5894	5899	5104	6401	6406	6407	6404	6405	5716	6216	6746	6620	7324	7325	5802	6864	6865	6860	5449	6139	5366	7067	6130	5936	5933	6961	6962	6969	6968	4471	5502	6004	6003	6000	7194	4889	6914	6447	6913	6448	6449	5594	5596	5599	5614	6258	6318	5421	5398	6705	7241	5090	7361	7363	7367	6825	5326	7021	5489	7024	6176	7029	6175	6679	5328	6649	6779	4757	5870	5977	5974	5430	7028	5434	6689	6685	7296	6958	5554	6488	5551	6527	6526	5656	6483	6954	6487	4932	6299	6298	4527	6295	6056	6198	6050	5116	5299	5296	6557	6550	6552	5721	6559	6412	6221	6226	6227	6639	5200	6732	6733	5206	6738	4796	6636	7336	6373	7333	7331	4954	5477	7111	6875	6128	5271	5273	6641	6995	6992	5513	6398	6016	6393	7602	5018	4890	6450	6454	6457	6459	6458	6909	4802	6265	4806	6514	5562	6064	6068	6303	5123	7273	6420	7371	7279	6601	5333	5335	6439	5339	7013	5944	5945	5942	5943	5940	5941	4744	4893	5865	5866	6886	6882	6883	5347	6119	5343	6114	5427	5426	6110	5422	5634	6494	6496	6492	6498	5528	5642	6947	6946	4691	6029	6026	5162	5163	5168	5280	6782	5733	6544	5639	6540	6460	6462	7583	4992	6238
MeanLength	428	621	718	622	873	338	650	375	451	825	1237	534	596	1353	683	266	588	1286	655	449	734	585	615	737	1001	759	814	916	927	1336	609	513	1179	616	395	582	207	1068	1404	417	516	867	295	660	571	573	641	857	486	284	720	794	655	348	592	598	676	609	1462	220	1306	375	350	300	474	1187	785	2796	1311	472	811	762	408	682	375	433	1698	506	1074	1113	559	611	354	902	612	483	1045	1218	603	1538	362	1398	834	441	717	496	687	735	952	889	972	447	619	396	370	612	310	832	667	754	870	350	466	365	1012	785	829	929	540	503	1141	1039	799	678	708	700	667	914	730	454	259	1026	403	1206	546	600	797	919	468	1741	1221	292	1443	534	559	370	1273	423	603	792	408	632	1049	1660	907	315	631	663	437	268	479	522	552	1069	885	1150	344	434	390	754	884	477	276	773	762	1065	588	249	606	463	502	746	421	931	859	246	648	1574	1627	2023	892	1683	1231	1587	292	586	498	482	534	342	410	1354	791	930	292	1384	759	1245	637	480	380	703	653	600	607	702	475	516	660	866	632	274	690	1006	602	853	1236	404	224	739	655	1440	948	437	497	1193	1172	867	459	768	1018	814	949	308	369	631	733	512	606	632	985	588	637	564	351	391	547	300	847	628	447	840	396	780	1024	618	600	380	787	595	1322	570	238	381	732	363	1180	683	711	1222	566	1132	575	472	725	1003	553	835	607	590	96	348	643	270	580	799	426	672	234	915	690	2216	1154	473	1695	586	655	706	586	1611	746	398	318	709	1369	434	192	481	488	220	2197	637	565	813	1389	344	645	997	1348	686	546	283	1369	374	1473	427	546	784	691	1274	1421	690	1080	405	512	2221	847	609	920	723	331	1780	919
cerato_combined	288	195	0	0	216	0	0	0	156	0	0	0	213	1233	0	0	0	201	657	0	348	0	93	624	0	0	756	210	123	0	0	0	243	0	0	0	162	756	810	0	0	0	0	0	0	0	0	0	213	0	156	0	570	348	309	0	0	0	0	0	0	0	0	0	0	333	0	594	924	0	327	0	0	372	135	0	78	129	306	267	0	0	0	105	0	0	870	927	381	636	207	723	0	0	711	0	0	366	546	156	0	0	0	168	0	0	0	210	213	0	0	0	117	0	96	0	453	369	231	252	591	180	0	0	0	270	627	327	0	0	96	516	63	174	0	324	0	225	0	549	195	0	354	0	0	0	639	0	0	0	0	282	0	186	210	84	495	294	0	132	153	216	429	402	0	426	150	0	0	0	0	120	141	390	120	150	318	234	0	0	0	219	0	120	114	0	0	351	522	315	0	0	87	426	0	0	0	0	174	0	201	399	0	0	0	453	0	0	0	0	0	0	219	96	189	291	0	0	537	216	219	0	0	285	198	0	486	0	0	0	516	786	81	0	0	909	615	0	0	0	213	303	0	0	0	0	198	0	0	0	192	0	0	207	0	147	393	84	324	153	0	150	291	96	609	0	0	228	0	204	435	0	93	0	0	0	363	0	0	591	0	414	99	0	234	0	354	381	159	0	0	0	0	0	273	0	0	201	210	0	0	102	321	315	0	0	468	0	0	909	525	0	0	549	429	183	0	0	438	0	312	411	0	0	963	288	0	0	321	381	147	0	231	0	0	0	255	81	144	0	615	84	0	255	0	0	0	132	738	0	0	1158	0
gunnera_combined	372	462	630	309	375	336	0	288	387	300	654	456	0	693	153	0	114	855	657	450	0	0	411	627	588	177	438	258	705	915	663	420	660	378	0	426	183	885	1185	0	228	300	219	204	243	261	573	414	186	0	531	411	297	348	309	582	105	0	330	0	285	0	195	300	0	855	102	1755	687	84	297	675	330	0	228	129	801	129	687	789	378	588	225	312	474	129	1020	732	303	489	0	465	0	123	600	0	96	105	885	666	306	240	318	162	276	276	183	336	459	297	156	180	0	171	654	222	699	438	201	504	1284	492	366	168	720	576	549	312	228	0	258	732	72	735	432	0	627	756	336	1521	816	117	1008	0	0	120	918	153	540	0	0	174	498	867	264	132	495	693	408	141	0	591	333	687	921	594	141	180	90	609	717	252	96	519	456	531	294	225	483	0	162	231	342	699	309	0	405	1143	1260	1749	231	1320	543	837	0	492	246	0	390	0	177	987	231	0	0	762	393	468	516	453	384	516	231	96	564	171	87	216	429	462	129	0	402	702	198	375	480	0	114	549	459	966	318	0	135	1293	1203	150	0	390	798	288	291	0	375	678	345	378	417	420	597	0	321	432	207	144	378	294	579	378	393	675	372	87	606	321	213	354	729	201	375	468	0	225	501	231	696	432	0	900	138	684	141	240	189	411	360	390	120	411	0	267	0	0	486	537	0	606	0	363	483	1944	534	432	153	0	465	741	450	1467	387	321	144	231	1023	171	0	93	435	0	1416	465	204	183	1455	225	642	456	1293	378	384	285	669	102	819	468	252	396	399	1242	1533	681	576	351	114	882	417	135	711	426	0	1932	612
P01-01B	294	228	0	183	192	0	0	150	306	0	519	153	228	921	153	0	297	615	294	0	123	597	294	492	960	0	0	141	540	504	216	513	159	0	216	0	0	1053	1149	0	0	279	0	0	468	135	126	393	213	0	249	0	273	351	243	318	0	0	126	0	0	0	207	297	0	732	0	1521	858	84	261	75	0	429	114	237	684	129	327	960	489	0	258	168	465	0	957	726	423	594	0	1149	78	0	717	0	87	165	957	312	288	237	0	0	273	330	174	336	453	0	570	0	0	165	234	69	660	522	0	0	1071	624	339	171	474	405	420	669	168	0	102	768	0	1053	174	321	621	447	0	618	381	0	243	123	0	0	507	0	528	117	99	222	372	1152	114	165	486	600	0	144	0	219	426	450	609	648	153	72	0	594	486	276	0	285	441	573	201	225	0	120	273	660	282	642	81	0	624	1455	831	1302	408	246	399	477	0	168	0	0	387	126	201	843	0	237	108	696	195	309	0	0	0	354	243	405	489	279	81	219	426	444	234	0	0	297	123	120	714	0	0	306	531	1404	720	0	249	1290	1188	354	0	201	558	0	171	0	0	144	0	102	336	0	534	0	330	384	0	144	174	210	99	171	453	408	0	378	216	0	291	396	0	195	354	564	0	135	267	132	783	204	0	393	123	810	102	0	135	165	360	453	258	246	0	96	0	123	273	0	285	618	0	189	0	1788	327	252	0	351	462	123	309	111	435	0	0	414	684	159	0	147	0	0	1146	405	0	0	945	312	0	315	909	159	135	282	282	63	702	0	468	276	234	891	723	0	585	255	0	345	180	0	708	465	0	1032	462
P01-01C	282	339	0	189	330	336	0	135	276	0	114	0	225	996	255	0	0	585	294	450	0	291	387	624	639	171	0	0	570	540	0	420	0	0	0	150	204	933	1398	0	0	0	0	0	468	108	249	0	213	78	432	279	921	357	300	318	93	267	0	0	201	0	0	300	99	222	102	1113	966	0	0	237	0	165	117	324	690	0	0	402	297	0	264	117	0	0	1014	315	396	267	0	480	0	0	792	0	237	0	411	405	300	0	132	0	0	66	0	204	0	0	288	0	168	0	165	204	630	594	255	0	996	552	120	0	0	156	717	282	0	0	93	807	0	480	174	321	213	441	0	507	0	0	345	0	0	0	219	0	540	0	165	0	255	186	327	75	0	300	0	0	0	591	234	792	657	333	150	0	0	162	351	186	0	0	120	558	195	237	0	129	0	675	0	636	0	0	639	1602	144	294	540	282	399	813	0	0	231	0	195	0	0	1206	126	0	0	0	330	162	0	450	312	0	231	186	231	690	0	219	429	219	231	0	0	360	135	129	837	150	0	93	336	1401	675	0	147	909	798	0	138	0	468	243	180	0	261	123	363	198	381	0	300	198	150	0	189	0	189	0	312	0	0	735	270	0	702	0	0	387	0	213	0	0	0	141	141	0	666	237	156	0	0	336	120	0	717	108	186	456	138	150	0	99	0	0	273	0	0	363	0	297	126	1623	111	255	0	0	342	351	0	978	363	0	0	510	426	183	0	204	423	0	0	552	0	0	993	282	0	147	744	99	387	0	129	0	588	156	252	147	147	0	408	0	726	240	0	0	114	0	0	288	0	1194	555
P01-03A	378	390	0	606	405	336	540	333	363	252	582	156	375	972	588	117	168	969	294	453	267	597	621	804	984	285	798	267	636	876	498	420	873	546	0	591	186	885	1401	171	378	633	219	423	573	333	567	552	387	0	762	546	660	354	558	435	492	345	1104	0	534	0	201	300	132	588	414	1650	1005	0	513	825	375	618	369	330	1968	309	930	1182	507	267	261	741	465	315	1038	1317	321	789	258	1314	0	168	789	159	93	261	894	609	255	456	411	285	345	570	234	636	684	603	582	351	375	192	471	714	795	438	393	324	1452	1182	390	675	702	594	579	816	342	0	210	762	381	1047	240	489	582	750	363	1512	1065	126	1101	318	399	159	954	255	540	381	255	204	909	1212	504	321	519	693	0	147	153	501	165	987	921	927	276	285	231	615	870	252	0	618	429	762	297	225	525	282	462	669	303	933	858	117	645	1299	1410	1746	513	1662	1161	1200	228	330	246	93	333	0	360	732	420	621	0	948	384	552	345	168	300	624	225	249	480	687	393	288	132	318	210	0	486	822	273	708	720	318	114	486	456	672	999	351	387	1314	798	303	354	402	837	387	468	0	267	525	621	396	606	423	675	486	423	426	201	147	363	294	477	624	444	744	357	690	870	483	135	405	138	327	1587	468	96	393	603	294	867	567	516	1209	402	696	444	387	645	570	549	765	132	519	0	285	354	0	639	357	318	543	198	510	273	1923	384	318	1443	225	618	588	573	1209	804	345	291	618	933	252	0	210	432	219	2760	477	207	669	1452	342	570	810	1272	111	384	279	906	225	1125	345	504	423	594	1293	1536	330	1065	432	0	1824	735	393	897	768	0	1935	747
P01-03C	0	162	735	606	486	336	99	333	318	564	1281	498	282	945	264	111	396	1038	372	453	285	450	621	495	984	177	792	723	621	522	213	447	765	615	117	591	183	1182	1398	159	243	507	219	471	459	354	543	618	426	0	744	531	435	348	471	438	432	339	0	0	678	333	201	285	0	966	312	1521	1062	72	351	810	111	363	276	0	1986	225	927	1128	507	606	264	516	492	0	1029	1305	669	1017	207	1221	561	123	651	117	381	165	963	660	543	393	444	147	165	207	174	333	684	558	504	207	0	174	489	462	492	783	477	336	1368	0	0	477	720	597	306	723	321	516	210	549	171	1041	477	489	693	0	270	735	528	135	984	471	537	249	768	255	540	279	0	363	591	1233	381	81	510	693	414	270	153	387	267	1134	912	855	141	291	270	615	702	252	0	762	114	147	399	234	483	234	489	729	291	807	186	222	327	1599	1509	2043	468	1554	852	1200	0	597	486	345	390	327	381	1128	423	189	159	834	477	480	276	438	171	579	564	0	0	660	405	243	558	672	366	252	294	873	408	546	549	297	0	657	456	966	846	360	288	891	810	165	348	690	618	537	477	0	267	438	642	384	399	546	369	255	333	393	201	375	468	219	453	369	447	741	390	219	549	405	348	360	189	201	705	567	0	372	486	228	1317	147	366	1140	180	684	96	261	753	798	354	273	120	0	0	69	291	249	642	468	168	660	144	537	483	2364	633	441	0	351	471	183	543	1644	462	84	117	357	834	234	192	366	381	219	1731	480	198	351	1125	342	654	564	1272	462	384	285	936	108	1242	348	483	402	525	1227	1557	357	696	351	129	1482	648	123	918	759	396	1722	750
P01-04D	378	309	522	150	846	336	237	354	381	516	372	180	486	546	495	0	279	1086	357	453	444	531	438	804	861	150	804	234	450	249	0	558	198	312	117	426	201	933	1338	138	276	0	219	213	0	225	333	414	387	0	426	0	546	348	282	297	219	267	225	216	573	210	201	300	0	441	102	1842	816	0	288	801	276	471	282	321	1398	0	276	1191	507	270	357	660	0	0	1038	828	669	1254	0	534	0	123	246	0	162	453	534	540	288	456	0	0	252	405	117	429	687	162	762	177	72	192	771	591	828	816	333	324	1197	720	402	369	708	264	303	579	0	0	219	552	147	1053	471	321	420	606	360	675	663	120	552	195	0	144	621	0	531	123	261	438	783	798	243	78	507	621	0	267	0	135	543	969	918	387	276	300	96	804	168	123	138	732	120	708	306	228	264	243	333	483	426	840	0	222	648	1548	1095	1041	813	1137	597	1608	0	0	483	0	171	189	195	1218	378	375	0	1470	297	621	339	0	102	0	594	81	222	192	273	225	657	630	330	0	144	768	135	429	1074	0	204	249	585	1374	846	0	168	1305	1203	405	141	765	837	396	588	0	261	0	432	360	273	429	318	273	348	474	0	147	360	90	381	0	456	789	399	483	747	462	210	405	198	441	882	567	102	111	273	135	573	501	369	387	303	606	192	156	753	477	186	342	153	492	0	357	351	255	444	318	0	570	207	507	525	1800	162	141	543	72	357	357	552	1137	672	0	0	549	798	234	0	348	459	219	1689	657	321	492	1092	333	528	366	1293	381	387	282	582	117	1035	255	327	81	405	1038	1476	444	762	351	102	387	666	135	750	519	0	1419	519
P01-04H	378	738	168	447	912	336	621	327	402	741	1275	504	492	1497	699	0	279	1350	657	456	666	627	150	633	972	675	816	849	903	1530	666	537	1164	612	183	591	159	1182	1398	531	435	915	333	660	579	642	705	744	393	168	573	891	660	342	588	585	624	678	1587	216	1368	135	351	300	381	1101	798	3438	1467	339	858	690	420	756	366	432	2013	405	939	1236	603	0	258	918	519	444	1065	1317	216	1608	411	1404	753	453	843	450	654	693	963	981	1059	456	621	408	342	423	129	912	684	645	915	351	375	348	1191	810	708	1137	570	471	1497	903	936	681	696	591	732	885	804	0	195	1122	273	600	396	603	693	1215	363	2001	1269	84	1587	639	531	225	1680	408	693	1041	351	684	1095	1734	897	327	642	693	501	267	519	372	267	1137	690	1149	345	405	381	582	894	447	375	774	762	1080	681	237	609	366	567	744	324	969	873	252	648	0	1632	2145	846	1767	1317	963	231	603	363	564	483	330	237	1401	591	945	291	1437	882	1275	642	438	0	678	783	657	477	687	402	513	558	747	609	252	750	1143	648	1002	1473	408	210	429	669	1602	78	432	522	1314	1206	1014	309	0	897	942	927	189	375	189	135	477	573	603	921	444	702	519	285	381	468	297	924	621	456	846	408	711	1089	627	621	405	123	594	1434	576	105	270	807	258	1389	813	717	1194	519	1299	609	405	744	1257	561	792	582	618	0	165	792	255	663	696	396	672	0	897	723	2322	1356	432	1650	552	771	549	600	1731	831	351	291	753	1347	510	0	531	471	219	2223	0	567	813	1581	336	651	954	1290	486	546	285	1422	321	1701	264	471	780	807	1077	1647	723	1269	378	567	2370	891	591	918	759	396	1941	1083
